question1,question2,is_duplicate
еб «бдг‘ г—÷ ж—«Ћнњ,еб ббж—«Ћ… ѕж— Ён ўеж— «бдг‘њ,1
г« ен Џ«’г… √б»— «њ,г« «”г Џ«’г… √б»— «њ,1
г« янЁн…  дўнЁ »ёЏ «бб»«д Џд «б”ћ«ѕњ,янЁ «дўЁ «б”ћ«ѕ њ,0
гд «”»«» «б»ЌЋ Џд Џгб њ,г« еж «бЏгб њ,0
г« Ў—нё…  Ќ÷н— яня… «б г— »«б жЁн њ,гд Ў—ё  Ќ÷н— яня… «б г—  њ,0
г« ен Џ«’г… √Ћнж»н«њ,г« ен Џ«’г… ≈—н —н«њ,0
яг Џѕѕ «б”я«д Ён  н«дћндњ,яг Џѕѕ «б”я«д Ён џж«дџѕждџњ,0
г« «”г Џ«’г… г’—њ,√нд  ёЏ «бё«е—…њ,0
г«–« дЏдн »«б«‘е«— њ,г« «егн… «б«‘е«— њ,0
г м √Џбд  Ё—д”« «” Џг«—е« бћ“н—… гѕџ‘ё—њ,Ён √н Џ«г  г «” Џг«— ћ“н—… Ё—д”« гд ё»б «бЁ—д”нндњ,0
Ён «н Ќ«б«  гџ’ «бЌгб нћ» «б–е«» «бм «бЎ»н»њ,г м нћ» Џбм «бЌ«гб «б–е«» «бм «бЎ»н»њ,0
г« √Ћ— дё’ «б«” —жћнд Џбм «бћ”гњ,г« ен «б«г—«÷ «бд« ће Џд дё’ «б«” —жћндњ,1
г« «бгЏбжг«  «б н нћебе« «бгж«Ўднд Ёнг« н Џбё »ћџ—«Ён… жЎдег ж «—нќењ,г« √”»«» Џѕг «б≈бг«г »«бгЏбжг«  «б√”«”н… Џд «бжЎдњ,0
гд Ў—ё  Ќ÷н— яня »— ё«б —ќ«гнњ,гд Ў—ё  Ќ÷н— яня… «б»— ё«бњ,0
г« «”»«»  ян” «бг»н÷њ,г« ен «”»«»  бнЁ «бг»н÷њ,0
г« ен √»н«   ё’нѕ… «бгж  —»Џ Ёд«Ѕњ,гд ё«∆б ё’нѕ… «бгж  —»Џ Ёд«Ѕњ,0
г« янЁн…  Ќ÷н— «бёЎ— »«бгдяе«  њ,г« Ў—нё…  Ќ÷н— «бёЎ— гЏ «бг” я… њ,0
г« ен √я»— ѕжб… Џ—»н… гд ЌнЋ «бг”«Ќ… «бћџ—«Ён…њ,√нд  ёЏ «бћ“«∆—њ,0
г« еж Џгб ћ«гЏ… «б”бш«г њ,г« еж «б”б«г њ,0
г«–«  Џдн «б√я“нг«њ,г« ”»» «б√я“нг«њ,0
г« ен «бгхЌ«”»… «б÷—н»нш…њ,г« «бгё’жѕ »«бгхЌ«”»… «б÷—н»нш…њ,1
г« гЏдм «дџб«ё «бежн… њ,г«–« дЏдн «дџб«ё «бежн… њ,1
янЁ «Ќ÷— я» яня «бдж нб«њ,гд Ў—ё  Ќ÷н—   «бдж нб«њ,0
г« Ў—нё…  Ќ÷н— Ќбм ёеж… «бё‘Ў… ж«б»”яжн њ,гд Ў—ё  Ќ÷н— Ќбм ёеж… «бё‘Ў… ж«б»”яжн њ,1
г« Ў—нё…  Ќ÷н— «бяня… «бЌб“ждн… «б»”нЎ…  њ,янЁ «Ќ÷— «бяня… «бЌб“ждн… «б»”нЎ… њ,1
√Ё÷б  Џ—нЁ ббЌ’«дњ,г« еж «б Џ—нЁ «бгд«”» ббЁ—”њ,0
г«–«   Ўб» ёж… «б‘ќ’н…њ,г« ен √ег ’Ё… нћ» жћжѕе« н«б‘ќ’н… «бёжн…њ,1
г« ен √я»— ћ“н—… Ён ћ“— «бёг—њ,г« «”г √я»— ћ“н—… Ён ћ“— «бёг—њ,1
г« ен  ё’нѕ… √»н  √—гѕ г« бг «я Ќб »ягњ,гд гƒбЁ ё’нѕ… √»н  √—гѕ г« бг «я Ќб »ягњ,0
г« гд«ќ «бгџ—» «бЏ—»нњ,яг  ’б ѕ—ћ«  «бЌ—«—… Ён я«джд «б√жб »«бгџ—» Џ«ѕ…рњ,0
